"title_label","Nimi"
"title_comment","Nimi, jolla maksutapa esitetään asiakkaalle."
"active_label","Käytössä"
"payment_action_label","Payment action label"
"public_merchant_id_label","Kauppiastunnus"
"public_merchant_id_comment","Kauppiaan julkinen kauppiastunnus."
"secret_merchant_id_label","Turva-avain"
"secret_merchant_id_comment","Kauppiaan salainen tarkistetieto eli MAC-avain. Kirjain- ja numerosarja."
"order_status_new_label","Maksetun tilauksen tila"
"order_status_new_comment","Tilauksen tila onnistuneen maksun jälkeen."
"debug_flag_label","Virheiden haku (debug)"
"debug_flag_comment","Lokitiedostoon (.../var/log/system.log) tallennetaan tietoa lähetetyistä ja vastaanotetuista tiedoista."
"allowspecific_label","Maksu sallitaan käytettävissä olevista maista"
"allowspecific_comment","Maksu voidaan sallia kaikista käytettävistä olevista maista tai rajoittaa vain tiettyjen maiden asiakkaille."
"specificcountry_label","Maksu vain seuraavista maista"
"sort_order_label","Järjestys"
"sort_order_comment","Järjestys, jossa eri verkkokaupan maksutavat näytetään asiakkaalle."
"You will be redirected to PGW in a few seconds.","Siirrytään automaattisesti Checkout-maksusivustolle muutaman sekunnin kuluessa."
"You will be redirected to website of PGW when you place an order.","Sinut ohjataan automaattisesti Checkout-maksusivustolle kun lähetät tilauksen."
"Customer was redirected to PGW","Asiakas ohjattiin Checkout-maksusivustolle"
"minimum_order_total_label","Vähimmäistilaussumma"
"maximum_order_total_label","Enimmäistilaussumma"
"Unknown order Id","Tuntematon tilausnumero"
"Customer successfully returned from PGW","Asiakas on palannut onnistuneesti takaisin Checkout-maksusivustolta. Maksu on OK. "
"Customer returned from PGW. Payment is pending.","Asiakas on palannut takaisin Checkout-maksusivustolta. Maksu on viivästetty."
"Order was canceled by customer","Asiakas peruutti tilauksen maksutapahtuman aikana"
"Error in payment","Virhe maksutapahtumassa."
"Technical failure","Tekninen virhe."
"Authentication failure","Tunnistautumisvirhe."
"Payment status already set","Maksun tila on jo asetettu."
"PWG_logo_alt","Checkout-verkkomaksu"
"PWG_logo_title","Checkout-verkkomaksu"
"Transaction Id is","Arkistointitunnus on "
"order_content_type_label","Tilauksen sisällön tyyppi"
"order_content_type_comment","Tilauksen sisällön tyyppi."
"normal content","normaali"
"adult entertainment","aikuisviihde"
"language_label","Kieli"
"language_comment","Kieliasetus Checkout-sivustolle"
"delivery_time_in_stock_label","Toimitusaika, varastossa"
"delivery_time_in_stock_comment","Toimitusaika päivissä, kun kaikkia tuotteita on varastossa."
"delivery_time_out_of_stock_label","Toimitusaika, ei varastossa"
"delivery_time_out_of_stock_comment","Toimitusaika päivissä, kun yhtä tai useampaa tuotetta ei ole varastossa."
"Checkout payment delayed","Checkout-maksu on viivästetty."
"finnish","suomi"
"Error occured","Virhe"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Paina tästä jatkaaksesi ostoksia.</a>"