"Access denied.","Pääsy estetty."
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","Asiakkaan istunnon kesto (sek.)"
"Default Response Charset","Vastauksen oletusmerkistö"
"Email","Sähköposti"
"Enable WSDL Cache","Ota käyttöön WSDL-välimuisti"
"General Settings","Yleiset asetukset"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API -osio"
"MagicZoom_Message","Siirrä hiiri kuvan päälle"
"MagicZoom_LoadingText","Kuvaa noudetaan..."
"Roles","Roolit"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roolit"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Käyttäjät"
"Unable to login.","Sisäänkirjautuminen ei onnistu."
"User Name","Käyttäjätunnus"
"Users","Käyttäjät"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web-palvelut"
"Your account has been deactivated.","Tili on otettu pois käytöstä."