"Action","Toiminto"
"An error occurred while creating the backup.","Varmuuskopiota tehtäessä tapahtui virhe."
"An error occurred while writing to the backup file ""%s"".","Kirjoitettaessa vamuurskopiotiedostoon ""%s"" tapahtui virhe."
"Are you sure you want to delete the selected backup(s)?","Poistetaanko valitut varmuuskopiot?"
"Backup Type","Varmuuskopion tyyppi"
"Backup file ""%s"" cannot be read from or written to.","Varmuuskopiotiedostoa ""%s"" ei voida lukea tai kirjoittaa."
"Backup file ""%s"" does not exist.","Varmuuskopiotiedostoa ""%s"" ei ole."
"Backup file does not exist.","Varmuuskopiotiedostoa ei ole."
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file not found","Varmuuskopiota ei löydy."
"Backup file path was not specified.","Varmuuskopiotiedoston polkua ei ole määritelty."
"Backups","Varmuuskopiot"
"Cannot read backup file.","Varmuuskopiotiedostoa ei voida lukea."
"Create Backup","Luo varmuuskopio"
"Database","Tietokanta"
"Database Backup","Tietokannan varmuuskopio"
"Database and Media","Tietokanta ja media"
"Database and Media Backup","Tietokannan ja median varmuuskopio"
"Database was successfuly backed up.","Tietokannasta on tehty varmuuskopio."
"Download","Lataa"
"Enable Scheduled Backup","Ota käyttöön ajastettu varmuuskopio"
"Failed to connect to FTP","FTP-yhteys epäonnistui."
"Failed to delete one or several backups.","Yhden tai useamman varmuuskopion poistaminen epäonnistui."
"Failed to rollback","Palautus epäonnistui."
"Failed to validate FTP","FTP-tarkistus epäonnistui."
"Frequency","Aikaväli"
"Invalid Password.","Virheellinen salasana."
"Maintenance Mode","Huoltotila"
"Name","Nimi"
"Not enough free space to create backup.","Varmuuskopiolle ei ole riittävästi vapaata tilaa."
"Not enough permissions to create backup.","Varmuuskopiointiin ei ole riitävästi oikeuksia."
"Not enough permissions to perform rollback","Palautukseen ei ole riittävästi oikeuksia."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Poista valinta kohdasta ''''Aseta verkkokauppa huoltotilaan'''' tai päivitä oikeutesi jatkaaksesi varmuuskopiointia.''''"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Poista valinta kohdasta ''''Aseta verkkokauppa huoltotilaan'''' tai päivitä oikeutesi jatkaaksesi palautusta.''''"
"Put store on the maintenance mode while backup's creation","Aseta verkkokauppa huoltotilaan varmuuskopioinnin ajaksi"
"Rollback","Palauta"
"Scheduled Backup Settings","Ajastettu varmuuskopio"
"Size, Bytes","Koko (tavuina)"
"Start Time","Aloitusaika"
"System","Järjestelmä"
"System (excluding Media)","Järjestelmä (ei mediaa)"
"System Backup","Järjestelmän varmuuskopio"
"System couldn't put store on the maintenance mode","Ohjelma ei voinut asettaa verkkokauppaa huoltotilaan."
"The database and media backup has been created.","Tietokanta ja media -varmuuskopiot on tehty."
"The database backup has been created.","Varmuuskopio tietokannasta on tehty."
"The file was compressed with Zlib, but this extension is not installed on server.","Tiedosto on pakattu Zlib-ohjelmalla, mutta tätä ohjelmaa ei ole asennettu palvelimelle."
"The selected backup(s) has been deleted.","Valitut varmuuskopiot on poistettu."
"The system (excluding Media) backup has been created.","Järjestelmävarmuuskopio on tehty (ei sisällä Mediaa)."
"The system backup has been created.","Järjestelmävarmuuskopio on tehty."
"Time","Aika"
"Type","Tyyppi"
"Unable to create backup. Please, try again later.","Varmuuskopiota ei voida tehdä. Yritä myöhemmin uudestaan."
"Unable to save the cron expression.","Ajastetun toiminnon tallentaminen ei onnistu."
"Wrong order of creation for new backup.","Uuden varmuuskopion tekemisessä on väärä järjestys."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Sinulla ei ole riittävästi oikeuksia kytkeä huoltotilaa tämän toiminnon ajaksi."
"Backup options","Varmuuskopion asetukset"
"Backup Type","Varmuuskopion tyyppi"
"Database and Media","Tietokanta ja media"
"Database and Media Backup","Tietokannan ja median varmuuskopio"
"DB","DB " "Järjestelmä (ei Mediaa)"