"%s and greater","%s ja suurempi"
"<strong>%d item(s)</strong> were found using the following search criteria","Seuraavilla hakukriteereillä löytyi <strong>%d kohdetta</strong>"
"Advanced Search","Tarkennettu haku"
"Advanced Search Form","Tarkennetun haun lomake"
"Advanced Search Result","Tarkennetun haun tulokset"
"All","Kaikki"
"Applies for ""Like"" search type only.","Käytetään vain ""Lähellä""-tyyppisessä haussa."
"Apply Layered Navigation if Search Results are Less Than","Näytä kerroksittainen navigointi jos hakutuloksia on vähemmän kuin"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Ominaisuuden asetuksien muuttaminen vaikuttaa hakuindeksiin. <a href=""%s"">Uudelleenrakenna hakuindeksi.</a>"
"Autogenerated Site Map","Automaattisesti muodostettava sivukartta"
"Catalog Advanced Search","Tarkennettu haku luettelosta"
"Catalog Search","Haku luettelosta"
"Catalog Search Index","Luettelon hakuindeksi"
"Don't see what you're looking for?","Etkö löytänyt etsimääsi tuotetta?"
"Enter ""0"" to enable layered navigation for any number of results.","Kirjoita kenttään ""0"" ottaaksesi käyttöön kerroksittaisen navigoinnin riippumatta hakutulosten määrästä."
"Go","Siirry"
"Go to Home Page","Siirry etusivulle"
"Grid","Taulukko"
"Home","Etusivu"
"List","Luettelo"
"Maximum Query Length","Hakulausekkeen enimmäispituus"
"Maximum Query Words Count","Hakulausekkeen sanojen enimmäismäärä"
"Maximum Search query length is %s. Your query was cut.","Suurin sallittu hakulausekkeen pituus on %s. Hakulauseketta lyhennettiin."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Suurin sallittu sanojen määrä on %1$s. Hausta lyhennettiin seuraava osa: %2$s."
"Minimal Query Length","Hakulausekkeen vähimmäispituus"
"Minimum Search query length is %s","Hakulausekkeen vähimmäispituus on %s"
"Modify your search","Muuta hakua"
"No","Ei"
"No items were found using the following search criteria.","Seuraavilla hakusanoilla ei löytynyt yhtään tuotetta."
"Please specify at least one search term.","Anna vähintään yksi hakusana."
"Popular Search Terms","Suositut hakusanat"
"Quick Search Form","Pikahakulomake"
"Rebuild Catalog product fulltext search index","Rakenna uudestaan luettelon tarkan haun indeksi"
"Relevance","Vastaavuus"
"Results","Tulokset"
"Search","Haku"
"Search Settings","Hakuehdot"
"Search Terms","Hakusanat"
"Search Type","Haun tyyppi"
"Search entire store here...","Hae"
"Search products...","Hae tuotteista"
"Search articles and categories...","Hae sivustolta"
"Search results for '%s'","Hakutulos haulle '%s'"
"Search results for: '%s'","Hakutulos haulle: '%s'"
"Search:","Hae:"
"Specified date is invalid.","Määritelty päivämäärä on virheellinen."
"Subscribe to Feed","Tilaa syöte"
"There are no search terms available.","Hakusanoja ei ole saatavilla."
"Yes","Kyllä"
"Your search returns no results.","Haulla ei löytynyt yhtään tuotetta. "
"Page search results","Sivut"
"Author search results","Kirjailijat"
"Your search returns no author results.","Haulla ei löytynyt yhtään kirjailijaa. "
"Your search returns no page results.","Haulla ei löytynyt yhtään sivua. "
"up to %s","%s asti"
"Combine (Like and Fulltext)","Yhdistelmä (Lähellä ja Tarkka)"
"Fulltext","Tarkka"
"Like","Lähellä"