"%s %s cycle.","%s %s cycle."
"--Please Select--","--Valitse--"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"<label>Make Check payable to:</label> %s","<label>Kirjoita maksuosoitus henkilölle:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","Sisäinen viitenumero on pakollinen maksuprofiilin tallentamiseksi."
"Authorize action is not available.","Varmennustoiminto ei ole käytettävissä."
"Auto Bill on Next Cycle","Laskuta automaattisesti seuraavassa erässä"
"Automatically Invoice All Items","Laskuta automaattisesti kaikki tuotteet"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Laskuttaa automaattisesti maksamattoman saldon seuraavassa laskuerässä (jos on epäonnistuneita maksuja)."
"Bank Transfer Payment","Tilisiirto"
"Billing Agreement status is not set.","Maksusopimuksen tilaa ei ole asetettu."
"Billing Amount","Maksettava summa"
"Billing Frequency","Maksujen aikaväli"
"Billing Period","Maksuerä"
"Billing Period Unit","Maksuerien ajan yksikkö"
"Billing period unit is not defined or wrong.","Maksuerin ajan yksikköä ei ole määritelty tai se on väärin."
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Maksutavan koodia ei voi noutaa."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Capture action is not available.","Vastaanottotoiminto ei ole käytettävissä."
"Card Verification Number","Kortin varmennusnumero"
"Cash On Delivery Payment","Maksu toimitettaessa"
"Centinel API URL","Centinel-API URL-osoite"
"Check / Money Order","Shekki / Maksuosoitus"
"Credit Card Number","Luottokortin numero"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Types","Luottokorttityypit"
"Credit card number mismatch with credit card type.","Luottokortin numero ei täsmää luottokortin tyypin kanssa."
"Credit card type is not allowed for this payment method.","Luottokorttityyppi ei ole sallittu tässä maksutavassa."
"Currency","Valuutta"
"Currency code is undefined.","Valuutan koodia ei ole määritelty."
"Customer ID is not set.","Asiakkaan tunnistetta ei ole asetettu."
"Day","Päivä"
"Debug Mode","Virheiden haku (debug)"
"Disallow specific shipping methods","Estä määrätyt toimitustavat"
"Disallowed shipping methods","Estetyt toimitustavat"
"Display Zero Fee","Näytä nollahinta"
"Enabled","Käytössä"
"Expiration Date","Viimeinen voimassaolopäivä"
"Full name of the person receiving the product or service paid for by the recurring payment.","Full name of the person receiving the product or service paid for by the recurring payment."
"Incorrect credit card expiration date.","Virheellinen luottokortin viimeinen voimassaoloaika."
"Initial Fee","Initial Fee"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Instructions","Ohjeet"
"Internal Reference ID","Sisäinen viitenumero"
"Invalid Credit Card Number","Virheellinen luottokortin numero"
"Issue Number","Tapahtumanumero"
"Make Check Payable to","Kirjoita shekki henkilölle"
"Make Check payable to:","Kirjoita shekki asiakkaalle:"
"Make Check payable to: %s","Kirjoita shekki henkilölle: %s"
"Maximum Billing Cycles","Maksuerien enimmäismäärä"
"Maximum Order Total","Enimmäistilaussumma"
"Maximum Payment Failures","Epäonnistuneiden maksujen enimmäismäärä"
"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Merchant ID","Kauppiaan tunniste"
"Minimum Order Total","Vähimmäistilaussumma"
"Month","Kuukausi"
"N/A","ei saatavilla"
"Name on Card","Nimi kortissa"
"Name on the Card","Nimi kortissa"
"New Order Status","Uusi tilauksen tila"
"New order status","Uuden tilauksen tila"
"Number of billing periods that make up one billing cycle.","Maksuerien määrä joka muodostaa yhden maksujakson."
"Order action is not available.","Tilaustoiminto ei ole käytettävissä."
"Overrides API URL that may be specified by a payment method.","Overrides API URL that may be specified by a payment method."
"Password","Salasana"
"Payment Method","Maksutapa"
"Payment Methods","Maksutavat"
"Payment Methods Section","Maksutavat -osio"
"Payment Reference ID","Maksun viitenumero"
"Payment Services","Maksupalvelut"
"Payment from Applicable Countries","Maksu sallitaan käytettävissä olevista maista"
"Payment from Specific Countries","Maksu vain seuraavista maista"
"Payment method code is not set.","Maksutavan koodia ei ole asetettu."
"Payment method code is undefined.","Maksutavan koodi on määrittelemättä."
"Payment profile is invalid:\n%s","Maksuprofiili on virheellinen:\n%s"
"Period frequency is wrong.","Maksuerien aikaväli on väärin."
"Please enter a valid credit card verification number.","Kirjoita luottokortin varmennusnumero."
"Processor ID","Processor ID"
"Purchase Order","Laskutus"
"Purchase Order Number","Laskun tilausnumero"
"Purchase Order Number:","Laskun tilausnumero:"
"Purchase Order Number: %s","Laskun tilausnumero: %s"
"Recurring Profile Start Date","Osamaksusopimuksen alkamispäivä"
"Recurring profile start date has invalid format.","Osamaksusopimuksen alkamispäivän muoto on virheellinen."
"Reference ID is not set.","Viitenumeroa ei ole asetettu."
"Refund action is not available.","Hyvitystoiminto ei ole käytettävissä."
"Repeats %s time(s).","Toistuu %s kertaa."
"Repeats until suspended or canceled.","Repeats until suspended or canceled."
"Request Card Security Code","Kortin varmistusnumero on pakollinen"
"Saved CC","Tallennettu luottokortti"
"Schedule Description","Aikataulun kuvaus"
"Schedule description must be not empty.","Aikataulun kuvaus ei voi olla tyhjä."
"Selected payment type is not allowed for billing country.","Valittu maksutapa ei ole sallittu maksajan maassa."
"Send Check to","Lähetä shekki asiakkaalle"
"Send Check to:","Lähetä shekki asiakkaalle:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","Toimituskulut"
"Shipment to applicable countries","Toimitetaan seuraaviin maihin"
"Shipment to Specific countries","Toimitetaan vain seuraaviin maihin"
"Short description of the recurring payment. By default equals to the product name.","Osamaksun lyhyt kuvaus. Oletuksena tuotteen nimi."
"Sort Order","Järjestys"
"Sort order","Järjestys"
"Start Date","Aloituspäivä"
"Start date has invalid format.","Aloituspäivän muoto on virheellinen."
"Start date is undefined.","Aloituspäivää ei ole määritelty."
"Subscriber Name","Tilaajan nimi"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Switch, Solo tai Maestro ainoastaan"
"Switch/Solo/Maestro Start Date","Switch, Solo tai Maestro alkamispäivä"
"Tax Amount","Veron määrä"
"Test Mode","Testitila"
"The date when billing for the profile begins.","The date when billing for the profile begins."
"The number of billing cycles for payment period.","Maksujaksojen määrä maksukautena."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Epäonnistuneiden aikataulun mukaisten maksujen määrä jonka jälkeen profiili automaattisesti keskeytetään."
"The payment review action is unavailable.","Maksunvahvistustoiminto ei ole saatavilla."
"The requested Payment Method is not available.","Maksutapa ei ole käytettävissä."
"Title","Nimi"
"Trial Billing Amount","Kokeilukauden maksun määrä"
"Trial Billing Frequency","Kokeilukauden maksuerien aikaväli"
"Trial Billing Period Unit","Kokeilukauden maksuerien ajan yksikkö"
"Trial Period","Kokeilukausi"
"Trial billing amount is wrong.","Kokeilukauden maksumäärä on virheellinen."
"Trial billing period unit is wrong.","Kokeilukauden aikayksikkö on virheellinen."
"Trial period frequency is wrong.","Kokeilukauden maksuerien aikaväli on virheellinen."
"Trial period max cycles is wrong.","Kokeilukauden enimmäisjakso on virheellinen."
"Two Weeks","Kaksi viikkoa"
"Unable to save Billing Agreement:","Maksusopimusta ei voi tallentaa:"
"Unit for billing during the subscription period.","Maksuerien väli tilausaikana."
"Unsupported currency code: %s.","Valuuttakoodia %s ei tueta."
"Void action is not available.","Void action is not available."
"Week","Viikko"
"What is this?","Mikä tämä on?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance."
"Wrong %s specified.","%s on määritelty väärin."
"Wrong or empty billing amount specified.","Maksumäärä on virheellinen tai tyhjä."
"Year","Vuosi"
"Zero Subtotal Checkout","Nollavälisumma maksu"
"Accept credit card and PayPal payments securely.","Luottokortti- ja PayPal-maksutapojen käyttäminen turvallisesti."
"Add PayPal as an additional payment method to your checkout page.","Lisää PayPal maksutavaksi."
"Cannot retrieve payment method instance.","Cannot retrieve payment method instance."
"Cash on Delivery","Maksu toimitettaessa"
"Credit Card Number: xxxx-%s","Luottokortin numero: xxxx-%s"
"Credit Card Type: %s","Luottokorttityyppi: %s"
"Expiration Date: %s/%s","Viimeinen voimassaolopäivä: %s/%s"
"Name on the Card: %s","Nimi kortissa: %s"
"Payment ID: %s","Maksun tunniste: %s"
"Website Payments Standard","Website Payments Standard"