"ALL","KAIKKI"
"ANY","MIKÄ TAHANSA"
"Add","Lisää"
"Apply","Ota käyttöön"
"by","millä"
"Conditions Combination","Ehtojen yhdistelmä"
"contains","sisältää"
"Customer Groups must be specified.","Asiakasryhmät täytyy määritellä."
"Description: %s","Kuvaus: %s"
"does not contain","ei sisällä"
"End Date must be greater than Start Date.","Päättymispäivän pitää olla myöhemmin kuin alkamispäivän."
"End Date should be greater than Start Date","Päättymispäivän pitää olla myöhemmin kuin alkamispäivän."
"equals or greater than","yhtäsuuri tai suurempi kuin"
"equals or less than","yhtäsuuri tai pienempi kuin"
"Expire at: %s","Päättyy: %s"
"FALSE","EPÄTOSI"
"greater than","suurempi kuin"
"If %s of these conditions are %s:","Jos %s ehdoista on %s:"
"Invalid discount amount.","Alennuksen määrä on virheellinen."
"is","on"
"is not","ei ole"
"is not one of","ei ole yksi seuraavista"
"is one of","on yksi seuraavista"
"less than","vähemmän kuin"
"MATCHING ALL","TÄSMÄÄ KAIKKIIN"
"MATCHING ANY","TÄSMÄÄ JOHONKIN"
"Name: %s","Nimi: %s"
"NOT MATCHING ALL","EI TÄSMÄÄ KAIKKIIN"
"NOT MATCHING ANY","EI TÄSMÄÄ MIHINKÄÄN"
"Open Chooser","Avaa valitsin"
"Perform following actions","Suorita seuraavat toiminnot"
"Please choose a condition to add...","Valitse lisättävä ehto..."
"Please choose an action to add...","Valitse lisättävä toiminto..."
"Remove","Poista"
"Start at: %s","Alkaa: %s"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"to","mihin"
"TRUE","TOSI"
"Websites must be specified.","Sivustot täytyy määritellä."